MonthStart,Disease,PatientCount,ClaimAmount
2003-12-01,Acute bronchitis (disorder),1,500
2004-04-01,Acute bronchitis (disorder),1,500
2005-01-01,Acute bronchitis (disorder),1,500
2005-02-01,Acute bronchitis (disorder),1,500
2005-05-01,Acute bronchitis (disorder),1,500
2005-06-01,Acute bronchitis (disorder),1,500
2005-07-01,Acute bronchitis (disorder),1,500
2005-08-01,Acute bronchitis (disorder),2,1000
2005-09-01,Acute bronchitis (disorder),1,500
2006-01-01,Acute bronchitis (disorder),4,2000
2006-05-01,Acute bronchitis (disorder),1,500
2007-05-01,Acute bronchitis (disorder),1,500
2008-05-01,Acute bronchitis (disorder),1,500
2008-07-01,Acute bronchitis (disorder),1,500
2008-11-01,Acute bronchitis (disorder),1,500
2009-04-01,Acute bronchitis (disorder),1,500
2009-11-01,Acute bronchitis (disorder),1,500
2009-12-01,Acute bronchitis (disorder),1,500
2010-12-01,Acute bronchitis (disorder),2,1000
2011-03-01,Acute bronchitis (disorder),1,500
2011-05-01,Acute bronchitis (disorder),1,500
2011-06-01,Acute bronchitis (disorder),1,500
2011-08-01,Acute bronchitis (disorder),1,500
2011-12-01,Acute bronchitis (disorder),1,500
2012-12-01,Acute bronchitis (disorder),1,500
2013-08-01,Acute bronchitis (disorder),3,1500
2013-09-01,Acute bronchitis (disorder),1,500
2013-10-01,Acute bronchitis (disorder),1,500
2014-03-01,Acute bronchitis (disorder),1,500
2014-06-01,Acute bronchitis (disorder),1,500
2014-07-01,Acute bronchitis (disorder),1,500
2014-09-01,Acute bronchitis (disorder),1,500
2015-03-01,Acute bronchitis (disorder),1,500
2015-08-01,Acute bronchitis (disorder),1,500
2015-09-01,Acute bronchitis (disorder),2,1000
2015-11-01,Acute bronchitis (disorder),1,500
2015-12-01,Acute bronchitis (disorder),1,500
2016-02-01,Acute bronchitis (disorder),11,5500
2016-03-01,Acute bronchitis (disorder),11,5500
2016-04-01,Acute bronchitis (disorder),7,3500
2016-05-01,Acute bronchitis (disorder),12,6000
2016-06-01,Acute bronchitis (disorder),8,4000
2016-07-01,Acute bronchitis (disorder),8,4000
2016-08-01,Acute bronchitis (disorder),6,3000
2016-09-01,Acute bronchitis (disorder),9,4500
2016-10-01,Acute bronchitis (disorder),9,4500
2016-11-01,Acute bronchitis (disorder),8,4000
2016-12-01,Acute bronchitis (disorder),7,3500
2017-01-01,Acute bronchitis (disorder),9,4500
2017-02-01,Acute bronchitis (disorder),12,6000
2017-03-01,Acute bronchitis (disorder),10,5000
2017-04-01,Acute bronchitis (disorder),11,5500
2017-05-01,Acute bronchitis (disorder),8,4000
2017-06-01,Acute bronchitis (disorder),10,5000
2017-07-01,Acute bronchitis (disorder),6,3000
2017-08-01,Acute bronchitis (disorder),12,6000
2017-09-01,Acute bronchitis (disorder),6,3000
2017-10-01,Acute bronchitis (disorder),11,5500
2017-11-01,Acute bronchitis (disorder),8,4000
2017-12-01,Acute bronchitis (disorder),10,5000
2018-01-01,Acute bronchitis (disorder),11,5500
2018-02-01,Acute bronchitis (disorder),10,5000
2018-03-01,Acute bronchitis (disorder),7,3500
2018-04-01,Acute bronchitis (disorder),12,6000
2018-05-01,Acute bronchitis (disorder),5,2500
2018-06-01,Acute bronchitis (disorder),7,3500
2018-07-01,Acute bronchitis (disorder),9,4500
2018-08-01,Acute bronchitis (disorder),7,3500
2018-09-01,Acute bronchitis (disorder),7,3500
2018-10-01,Acute bronchitis (disorder),9,4500
2018-11-01,Acute bronchitis (disorder),4,2000
2018-12-01,Acute bronchitis (disorder),5,2500
2019-01-01,Acute bronchitis (disorder),12,6000
2019-02-01,Acute bronchitis (disorder),8,4000
2019-03-01,Acute bronchitis (disorder),5,2500
2019-04-01,Acute bronchitis (disorder),7,3500
2019-05-01,Acute bronchitis (disorder),11,5500
2019-06-01,Acute bronchitis (disorder),12,6000
2019-07-01,Acute bronchitis (disorder),9,4500
2019-08-01,Acute bronchitis (disorder),11,5500
2019-09-01,Acute bronchitis (disorder),7,3500
2019-10-01,Acute bronchitis (disorder),6,3000
2019-11-01,Acute bronchitis (disorder),9,4500
2019-12-01,Acute bronchitis (disorder),6,3000
2020-01-01,Acute bronchitis (disorder),9,4500
2020-02-01,Acute bronchitis (disorder),6,3000
2020-03-01,Acute bronchitis (disorder),4,2000
2020-04-01,Acute bronchitis (disorder),5,2500
2020-05-01,Acute bronchitis (disorder),9,4500
2020-06-01,Acute bronchitis (disorder),7,3500
2020-07-01,Acute bronchitis (disorder),6,3000
2020-08-01,Acute bronchitis (disorder),14,7000
2020-09-01,Acute bronchitis (disorder),8,4000
2020-10-01,Acute bronchitis (disorder),7,3500
2020-11-01,Acute bronchitis (disorder),5,2500
2020-12-01,Acute bronchitis (disorder),11,5500
2021-01-01,Acute bronchitis (disorder),6,3000
2021-02-01,Acute bronchitis (disorder),9,4500
2021-03-01,Acute bronchitis (disorder),6,3000
2021-04-01,Acute bronchitis (disorder),7,3500
2021-05-01,Acute bronchitis (disorder),9,4500
2021-06-01,Acute bronchitis (disorder),5,2500
2021-07-01,Acute bronchitis (disorder),13,6500
2021-08-01,Acute bronchitis (disorder),8,4000
2021-09-01,Acute bronchitis (disorder),7,3500
2021-10-01,Acute bronchitis (disorder),9,4500
2021-11-01,Acute bronchitis (disorder),7,3500
2021-12-01,Acute bronchitis (disorder),12,6000
2022-01-01,Acute bronchitis (disorder),10,5000
2022-02-01,Acute bronchitis (disorder),8,4000
2022-03-01,Acute bronchitis (disorder),8,4000
2022-04-01,Acute bronchitis (disorder),3,1500
2022-05-01,Acute bronchitis (disorder),8,4000
2022-06-01,Acute bronchitis (disorder),4,2000
2022-07-01,Acute bronchitis (disorder),10,5000
2022-08-01,Acute bronchitis (disorder),5,2500
2022-09-01,Acute bronchitis (disorder),10,5000
2022-10-01,Acute bronchitis (disorder),5,2500
2022-11-01,Acute bronchitis (disorder),3,1500
2022-12-01,Acute bronchitis (disorder),3,1500
2023-01-01,Acute bronchitis (disorder),8,4000
2023-02-01,Acute bronchitis (disorder),8,4000
2023-03-01,Acute bronchitis (disorder),9,4500
2023-04-01,Acute bronchitis (disorder),6,3000
2023-05-01,Acute bronchitis (disorder),5,2500
2023-06-01,Acute bronchitis (disorder),7,3500
2023-07-01,Acute bronchitis (disorder),4,2000
2023-08-01,Acute bronchitis (disorder),14,7000
2023-09-01,Acute bronchitis (disorder),6,3000
2023-10-01,Acute bronchitis (disorder),4,2000
2023-11-01,Acute bronchitis (disorder),9,4500
2023-12-01,Acute bronchitis (disorder),2,1000
2024-01-01,Acute bronchitis (disorder),7,3500
2024-02-01,Acute bronchitis (disorder),4,2000
2024-03-01,Acute bronchitis (disorder),8,4000
2024-04-01,Acute bronchitis (disorder),5,2500
2024-05-01,Acute bronchitis (disorder),7,3500
2024-06-01,Acute bronchitis (disorder),15,7500
2024-07-01,Acute bronchitis (disorder),11,5500
2024-08-01,Acute bronchitis (disorder),13,6500
2024-09-01,Acute bronchitis (disorder),13,6500
2024-10-01,Acute bronchitis (disorder),8,4000
2024-11-01,Acute bronchitis (disorder),7,3500
2024-12-01,Acute bronchitis (disorder),8,4000
2025-01-01,Acute bronchitis (disorder),11,5500
2025-02-01,Acute bronchitis (disorder),6,3000
2025-03-01,Acute bronchitis (disorder),8,4000
2025-04-01,Acute bronchitis (disorder),8,4000
2025-05-01,Acute bronchitis (disorder),8,4000
2025-06-01,Acute bronchitis (disorder),7,3500
2025-07-01,Acute bronchitis (disorder),7,3500
2025-08-01,Acute bronchitis (disorder),7,3500
2025-09-01,Acute bronchitis (disorder),9,4500
2025-10-01,Acute bronchitis (disorder),9,4500
2025-11-01,Acute bronchitis (disorder),7,3500
2025-12-01,Acute bronchitis (disorder),9,4500
2026-01-01,Acute bronchitis (disorder),10,5000
1940-05-01,Acute viral pharyngitis (disorder),1,500
1957-10-01,Acute viral pharyngitis (disorder),1,500
1959-05-01,Acute viral pharyngitis (disorder),1,500
1961-05-01,Acute viral pharyngitis (disorder),1,500
1964-09-01,Acute viral pharyngitis (disorder),1,500
1967-06-01,Acute viral pharyngitis (disorder),1,500
1968-05-01,Acute viral pharyngitis (disorder),1,500
1968-07-01,Acute viral pharyngitis (disorder),1,500
1969-06-01,Acute viral pharyngitis (disorder),1,500
1970-06-01,Acute viral pharyngitis (disorder),1,500
1976-05-01,Acute viral pharyngitis (disorder),1,500
1977-05-01,Acute viral pharyngitis (disorder),2,1000
1977-06-01,Acute viral pharyngitis (disorder),1,500
1977-10-01,Acute viral pharyngitis (disorder),1,500
1978-05-01,Acute viral pharyngitis (disorder),1,500
1978-10-01,Acute viral pharyngitis (disorder),1,500
1979-10-01,Acute viral pharyngitis (disorder),1,500
1980-02-01,Acute viral pharyngitis (disorder),1,500
1980-03-01,Acute viral pharyngitis (disorder),1,500
1980-10-01,Acute viral pharyngitis (disorder),1,500
1981-03-01,Acute viral pharyngitis (disorder),1,500
1981-05-01,Acute viral pharyngitis (disorder),1,500
1981-06-01,Acute viral pharyngitis (disorder),1,500
1983-06-01,Acute viral pharyngitis (disorder),1,500
1984-03-01,Acute viral pharyngitis (disorder),1,500
1984-04-01,Acute viral pharyngitis (disorder),1,500
1985-02-01,Acute viral pharyngitis (disorder),1,500
1985-03-01,Acute viral pharyngitis (disorder),1,500
1985-11-01,Acute viral pharyngitis (disorder),1,500
1986-03-01,Acute viral pharyngitis (disorder),1,500
1986-06-01,Acute viral pharyngitis (disorder),1,500
1987-04-01,Acute viral pharyngitis (disorder),1,500
1987-07-01,Acute viral pharyngitis (disorder),2,1000
1988-06-01,Acute viral pharyngitis (disorder),1,500
1988-08-01,Acute viral pharyngitis (disorder),1,500
1988-09-01,Acute viral pharyngitis (disorder),2,1000
1988-10-01,Acute viral pharyngitis (disorder),1,500
1989-05-01,Acute viral pharyngitis (disorder),1,500
1989-10-01,Acute viral pharyngitis (disorder),1,500
1990-03-01,Acute viral pharyngitis (disorder),1,500
1990-06-01,Acute viral pharyngitis (disorder),1,500
1991-08-01,Acute viral pharyngitis (disorder),1,500
1991-09-01,Acute viral pharyngitis (disorder),1,500
1993-06-01,Acute viral pharyngitis (disorder),2,1000
1993-08-01,Acute viral pharyngitis (disorder),1,500
1995-04-01,Acute viral pharyngitis (disorder),1,500
1995-05-01,Acute viral pharyngitis (disorder),1,500
1995-08-01,Acute viral pharyngitis (disorder),1,500
1995-09-01,Acute viral pharyngitis (disorder),1,500
1995-11-01,Acute viral pharyngitis (disorder),1,500
1996-04-01,Acute viral pharyngitis (disorder),1,500
1996-05-01,Acute viral pharyngitis (disorder),1,500
1996-07-01,Acute viral pharyngitis (disorder),1,500
1996-11-01,Acute viral pharyngitis (disorder),1,500
1997-06-01,Acute viral pharyngitis (disorder),1,500
1997-10-01,Acute viral pharyngitis (disorder),1,500
1998-05-01,Acute viral pharyngitis (disorder),1,500
1998-11-01,Acute viral pharyngitis (disorder),2,1000
1998-12-01,Acute viral pharyngitis (disorder),1,500
1999-03-01,Acute viral pharyngitis (disorder),1,500
1999-08-01,Acute viral pharyngitis (disorder),1,500
1999-09-01,Acute viral pharyngitis (disorder),1,500
1999-11-01,Acute viral pharyngitis (disorder),1,500
1999-12-01,Acute viral pharyngitis (disorder),2,1000
2000-03-01,Acute viral pharyngitis (disorder),1,500
2000-09-01,Acute viral pharyngitis (disorder),1,500
2000-10-01,Acute viral pharyngitis (disorder),1,500
2001-04-01,Acute viral pharyngitis (disorder),1,500
2002-06-01,Acute viral pharyngitis (disorder),1,500
2002-07-01,Acute viral pharyngitis (disorder),1,500
2002-08-01,Acute viral pharyngitis (disorder),1,500
2002-11-01,Acute viral pharyngitis (disorder),1,500
2003-03-01,Acute viral pharyngitis (disorder),1,500
2003-04-01,Acute viral pharyngitis (disorder),1,500
2003-08-01,Acute viral pharyngitis (disorder),1,500
2003-09-01,Acute viral pharyngitis (disorder),1,500
2003-12-01,Acute viral pharyngitis (disorder),2,1000
2004-04-01,Acute viral pharyngitis (disorder),1,500
2004-11-01,Acute viral pharyngitis (disorder),3,1500
2005-06-01,Acute viral pharyngitis (disorder),1,500
2005-11-01,Acute viral pharyngitis (disorder),1,500
2006-01-01,Acute viral pharyngitis (disorder),1,500
2006-06-01,Acute viral pharyngitis (disorder),1,500
2006-07-01,Acute viral pharyngitis (disorder),1,500
2006-09-01,Acute viral pharyngitis (disorder),1,500
2007-01-01,Acute viral pharyngitis (disorder),2,1000
2007-04-01,Acute viral pharyngitis (disorder),2,1000
2008-05-01,Acute viral pharyngitis (disorder),1,500
2009-01-01,Acute viral pharyngitis (disorder),1,500
2009-04-01,Acute viral pharyngitis (disorder),2,1000
2009-06-01,Acute viral pharyngitis (disorder),1,500
2009-08-01,Acute viral pharyngitis (disorder),1,500
2010-02-01,Acute viral pharyngitis (disorder),1,500
2010-04-01,Acute viral pharyngitis (disorder),1,500
2010-08-01,Acute viral pharyngitis (disorder),1,500
2010-10-01,Acute viral pharyngitis (disorder),2,1000
2011-03-01,Acute viral pharyngitis (disorder),1,500
2011-04-01,Acute viral pharyngitis (disorder),1,500
2011-05-01,Acute viral pharyngitis (disorder),1,500
2011-07-01,Acute viral pharyngitis (disorder),1,500
2011-12-01,Acute viral pharyngitis (disorder),1,500
2012-04-01,Acute viral pharyngitis (disorder),3,1500
2012-06-01,Acute viral pharyngitis (disorder),2,1000
2012-09-01,Acute viral pharyngitis (disorder),1,500
2013-04-01,Acute viral pharyngitis (disorder),1,500
2013-05-01,Acute viral pharyngitis (disorder),1,500
2014-05-01,Acute viral pharyngitis (disorder),2,1000
2014-08-01,Acute viral pharyngitis (disorder),1,500
2015-10-01,Acute viral pharyngitis (disorder),1,500
2015-12-01,Acute viral pharyngitis (disorder),1,500
2016-01-01,Acute viral pharyngitis (disorder),2,1000
2016-02-01,Acute viral pharyngitis (disorder),4,2000
2016-03-01,Acute viral pharyngitis (disorder),6,3000
2016-04-01,Acute viral pharyngitis (disorder),14,7000
2016-05-01,Acute viral pharyngitis (disorder),6,3000
2016-06-01,Acute viral pharyngitis (disorder),13,6500
2016-07-01,Acute viral pharyngitis (disorder),14,7000
2016-08-01,Acute viral pharyngitis (disorder),8,4000
2016-09-01,Acute viral pharyngitis (disorder),11,5500
2016-10-01,Acute viral pharyngitis (disorder),7,3500
2016-11-01,Acute viral pharyngitis (disorder),9,4500
2016-12-01,Acute viral pharyngitis (disorder),8,4000
2017-01-01,Acute viral pharyngitis (disorder),12,6000
2017-02-01,Acute viral pharyngitis (disorder),8,4000
2017-03-01,Acute viral pharyngitis (disorder),8,4000
2017-04-01,Acute viral pharyngitis (disorder),10,5000
2017-05-01,Acute viral pharyngitis (disorder),6,3000
2017-06-01,Acute viral pharyngitis (disorder),5,2500
2017-07-01,Acute viral pharyngitis (disorder),9,4500
2017-08-01,Acute viral pharyngitis (disorder),6,3000
2017-09-01,Acute viral pharyngitis (disorder),15,7500
2017-10-01,Acute viral pharyngitis (disorder),9,4500
2017-11-01,Acute viral pharyngitis (disorder),13,6500
2017-12-01,Acute viral pharyngitis (disorder),12,6000
2018-01-01,Acute viral pharyngitis (disorder),12,6000
2018-02-01,Acute viral pharyngitis (disorder),7,3500
2018-03-01,Acute viral pharyngitis (disorder),15,7500
2018-04-01,Acute viral pharyngitis (disorder),12,6000
2018-05-01,Acute viral pharyngitis (disorder),7,3500
2018-06-01,Acute viral pharyngitis (disorder),16,8000
2018-07-01,Acute viral pharyngitis (disorder),8,4000
2018-08-01,Acute viral pharyngitis (disorder),7,3500
2018-09-01,Acute viral pharyngitis (disorder),13,6500
2018-10-01,Acute viral pharyngitis (disorder),8,4000
2018-11-01,Acute viral pharyngitis (disorder),12,6000
2018-12-01,Acute viral pharyngitis (disorder),18,9000
2019-01-01,Acute viral pharyngitis (disorder),13,6500
2019-02-01,Acute viral pharyngitis (disorder),6,3000
2019-03-01,Acute viral pharyngitis (disorder),8,4000
2019-04-01,Acute viral pharyngitis (disorder),10,5000
2019-05-01,Acute viral pharyngitis (disorder),11,5500
2019-06-01,Acute viral pharyngitis (disorder),8,4000
2019-07-01,Acute viral pharyngitis (disorder),14,7000
2019-08-01,Acute viral pharyngitis (disorder),9,4500
2019-09-01,Acute viral pharyngitis (disorder),9,4500
2019-10-01,Acute viral pharyngitis (disorder),12,6000
2019-11-01,Acute viral pharyngitis (disorder),8,4000
2019-12-01,Acute viral pharyngitis (disorder),5,2500
2020-01-01,Acute viral pharyngitis (disorder),8,4000
2020-02-01,Acute viral pharyngitis (disorder),11,5500
2020-03-01,Acute viral pharyngitis (disorder),5,2500
2020-04-01,Acute viral pharyngitis (disorder),6,3000
2020-05-01,Acute viral pharyngitis (disorder),11,5500
2020-06-01,Acute viral pharyngitis (disorder),9,4500
2020-07-01,Acute viral pharyngitis (disorder),10,5000
2020-08-01,Acute viral pharyngitis (disorder),8,4000
2020-09-01,Acute viral pharyngitis (disorder),6,3000
2020-10-01,Acute viral pharyngitis (disorder),9,4500
2020-11-01,Acute viral pharyngitis (disorder),15,7500
2020-12-01,Acute viral pharyngitis (disorder),12,6000
2021-01-01,Acute viral pharyngitis (disorder),15,7500
2021-02-01,Acute viral pharyngitis (disorder),9,4500
2021-03-01,Acute viral pharyngitis (disorder),15,7500
2021-04-01,Acute viral pharyngitis (disorder),7,3500
2021-05-01,Acute viral pharyngitis (disorder),11,5500
2021-06-01,Acute viral pharyngitis (disorder),11,5500
2021-07-01,Acute viral pharyngitis (disorder),6,3000
2021-08-01,Acute viral pharyngitis (disorder),9,4500
2021-09-01,Acute viral pharyngitis (disorder),13,6500
2021-10-01,Acute viral pharyngitis (disorder),7,3500
2021-11-01,Acute viral pharyngitis (disorder),16,8000
2021-12-01,Acute viral pharyngitis (disorder),7,3500
2022-01-01,Acute viral pharyngitis (disorder),8,4000
2022-02-01,Acute viral pharyngitis (disorder),9,4500
2022-03-01,Acute viral pharyngitis (disorder),15,7500
2022-04-01,Acute viral pharyngitis (disorder),13,6500
2022-05-01,Acute viral pharyngitis (disorder),12,6000
2022-06-01,Acute viral pharyngitis (disorder),8,4000
2022-07-01,Acute viral pharyngitis (disorder),12,6000
2022-08-01,Acute viral pharyngitis (disorder),9,4500
2022-09-01,Acute viral pharyngitis (disorder),11,5500
2022-10-01,Acute viral pharyngitis (disorder),11,5500
2022-11-01,Acute viral pharyngitis (disorder),8,4000
2022-12-01,Acute viral pharyngitis (disorder),14,7000
2023-01-01,Acute viral pharyngitis (disorder),16,8000
2023-02-01,Acute viral pharyngitis (disorder),9,4500
2023-03-01,Acute viral pharyngitis (disorder),14,7000
2023-04-01,Acute viral pharyngitis (disorder),9,4500
2023-05-01,Acute viral pharyngitis (disorder),12,6000
2023-06-01,Acute viral pharyngitis (disorder),9,4500
2023-07-01,Acute viral pharyngitis (disorder),10,5000
2023-08-01,Acute viral pharyngitis (disorder),5,2500
2023-09-01,Acute viral pharyngitis (disorder),12,6000
2023-10-01,Acute viral pharyngitis (disorder),10,5000
2023-11-01,Acute viral pharyngitis (disorder),13,6500
2023-12-01,Acute viral pharyngitis (disorder),13,6500
2024-01-01,Acute viral pharyngitis (disorder),5,2500
2024-02-01,Acute viral pharyngitis (disorder),12,6000
2024-03-01,Acute viral pharyngitis (disorder),12,6000
2024-04-01,Acute viral pharyngitis (disorder),10,5000
2024-05-01,Acute viral pharyngitis (disorder),7,3500
2024-06-01,Acute viral pharyngitis (disorder),9,4500
2024-07-01,Acute viral pharyngitis (disorder),9,4500
2024-08-01,Acute viral pharyngitis (disorder),11,5500
2024-09-01,Acute viral pharyngitis (disorder),8,4000
2024-10-01,Acute viral pharyngitis (disorder),17,8500
2024-11-01,Acute viral pharyngitis (disorder),14,7000
2024-12-01,Acute viral pharyngitis (disorder),10,5000
2025-01-01,Acute viral pharyngitis (disorder),12,6000
2025-02-01,Acute viral pharyngitis (disorder),6,3000
2025-03-01,Acute viral pharyngitis (disorder),7,3500
2025-04-01,Acute viral pharyngitis (disorder),7,3500
2025-05-01,Acute viral pharyngitis (disorder),15,7500
2025-06-01,Acute viral pharyngitis (disorder),6,3000
2025-07-01,Acute viral pharyngitis (disorder),15,7500
2025-08-01,Acute viral pharyngitis (disorder),12,6000
2025-09-01,Acute viral pharyngitis (disorder),8,4000
2025-10-01,Acute viral pharyngitis (disorder),10,5000
2025-11-01,Acute viral pharyngitis (disorder),4,2000
2025-12-01,Acute viral pharyngitis (disorder),8,4000
2026-01-01,Acute viral pharyngitis (disorder),8,4000
1937-10-01,Anemia (disorder),1,500
1942-12-01,Anemia (disorder),2,1000
1943-06-01,Anemia (disorder),1,500
1943-11-01,Anemia (disorder),1,500
1944-07-01,Anemia (disorder),1,500
1947-07-01,Anemia (disorder),1,500
1948-04-01,Anemia (disorder),1,500
1948-11-01,Anemia (disorder),1,500
1949-02-01,Anemia (disorder),1,500
1949-06-01,Anemia (disorder),1,500
1950-11-01,Anemia (disorder),1,500
1950-12-01,Anemia (disorder),2,1000
1951-02-01,Anemia (disorder),1,500
1952-08-01,Anemia (disorder),1,500
1952-11-01,Anemia (disorder),1,500
1953-01-01,Anemia (disorder),1,500
1955-05-01,Anemia (disorder),1,500
1955-07-01,Anemia (disorder),1,500
1955-09-01,Anemia (disorder),1,500
1956-05-01,Anemia (disorder),1,500
1957-03-01,Anemia (disorder),1,500
1957-06-01,Anemia (disorder),1,500
1957-08-01,Anemia (disorder),1,500
1958-10-01,Anemia (disorder),1,500
1958-12-01,Anemia (disorder),2,1000
1959-07-01,Anemia (disorder),1,500
1959-08-01,Anemia (disorder),1,500
1959-12-01,Anemia (disorder),1,500
1960-05-01,Anemia (disorder),1,500
1960-12-01,Anemia (disorder),1,500
1961-01-01,Anemia (disorder),1,500
1961-04-01,Anemia (disorder),1,500
1961-12-01,Anemia (disorder),1,500
1962-07-01,Anemia (disorder),1,500
1962-10-01,Anemia (disorder),1,500
1963-03-01,Anemia (disorder),3,1500
1963-10-01,Anemia (disorder),1,500
1963-11-01,Anemia (disorder),1,500
1964-10-01,Anemia (disorder),1,500
1965-06-01,Anemia (disorder),1,500
1966-03-01,Anemia (disorder),1,500
1966-05-01,Anemia (disorder),1,500
1966-09-01,Anemia (disorder),1,500
1966-10-01,Anemia (disorder),1,500
1967-02-01,Anemia (disorder),1,500
1967-07-01,Anemia (disorder),1,500
1967-08-01,Anemia (disorder),1,500
1967-10-01,Anemia (disorder),1,500
1967-11-01,Anemia (disorder),1,500
1968-02-01,Anemia (disorder),1,500
1968-06-01,Anemia (disorder),1,500
1968-10-01,Anemia (disorder),2,1000
1969-02-01,Anemia (disorder),1,500
1969-09-01,Anemia (disorder),1,500
1969-10-01,Anemia (disorder),1,500
1969-12-01,Anemia (disorder),1,500
1970-03-01,Anemia (disorder),2,1000
1970-05-01,Anemia (disorder),2,1000
1970-08-01,Anemia (disorder),1,500
1970-12-01,Anemia (disorder),1,500
1971-10-01,Anemia (disorder),2,1000
1972-03-01,Anemia (disorder),1,500
1972-04-01,Anemia (disorder),2,1000
1972-09-01,Anemia (disorder),1,500
1973-01-01,Anemia (disorder),1,500
1973-03-01,Anemia (disorder),1,500
1973-07-01,Anemia (disorder),2,1000
1973-08-01,Anemia (disorder),1,500
1973-10-01,Anemia (disorder),1,500
1973-11-01,Anemia (disorder),1,500
1974-02-01,Anemia (disorder),1,500
1974-05-01,Anemia (disorder),1,500
1974-11-01,Anemia (disorder),1,500
1975-05-01,Anemia (disorder),1,500
1975-10-01,Anemia (disorder),1,500
1976-02-01,Anemia (disorder),1,500
1976-05-01,Anemia (disorder),1,500
1976-08-01,Anemia (disorder),1,500
1976-09-01,Anemia (disorder),2,1000
1977-01-01,Anemia (disorder),1,500
1977-02-01,Anemia (disorder),1,500
1977-03-01,Anemia (disorder),2,1000
1977-05-01,Anemia (disorder),1,500
1977-09-01,Anemia (disorder),1,500
1978-01-01,Anemia (disorder),1,500
1978-03-01,Anemia (disorder),2,1000
1978-05-01,Anemia (disorder),1,500
1978-06-01,Anemia (disorder),1,500
1979-02-01,Anemia (disorder),1,500
1979-03-01,Anemia (disorder),2,1000
1979-04-01,Anemia (disorder),1,500
1979-06-01,Anemia (disorder),1,500
1979-11-01,Anemia (disorder),1,500
1980-01-01,Anemia (disorder),1,500
1980-03-01,Anemia (disorder),1,500
1980-04-01,Anemia (disorder),1,500
1980-06-01,Anemia (disorder),1,500
1980-07-01,Anemia (disorder),1,500
1980-08-01,Anemia (disorder),1,500
1980-09-01,Anemia (disorder),1,500
1980-10-01,Anemia (disorder),2,1000
1980-11-01,Anemia (disorder),3,1500
1981-05-01,Anemia (disorder),2,1000
1981-06-01,Anemia (disorder),1,500
1981-07-01,Anemia (disorder),1,500
1981-12-01,Anemia (disorder),3,1500
1982-06-01,Anemia (disorder),2,1000
