MonthStart,Disease,ForecastPatientCount,ForecastClaimAmount
2026-07-01,Anemia (disorder),2.28,1138.01
2026-02-01,Reports of violence in the environment (finding),7.46,3728.3
2026-03-01,Reports of violence in the environment (finding),7.48,3741.64
2026-04-01,Reports of violence in the environment (finding),7.51,3754.97
2026-05-01,Reports of violence in the environment (finding),7.54,3768.31
2026-06-01,Reports of violence in the environment (finding),7.56,3781.64
2026-07-01,Reports of violence in the environment (finding),7.59,3794.98
2026-02-01,Risk activity involvement (finding),2.35,1174.33
2026-03-01,Risk activity involvement (finding),2.35,1176.28
2026-04-01,Risk activity involvement (finding),2.36,1178.23
2026-05-01,Risk activity involvement (finding),2.36,1180.18
2026-06-01,Risk activity involvement (finding),2.36,1182.13
2026-07-01,Risk activity involvement (finding),2.37,1184.07
2025-12-01,Chronic pain (finding),2.23,1113.65
2026-01-01,Chronic pain (finding),2.19,1096.97
2026-02-01,Chronic pain (finding),2.16,1080.29
2026-03-01,Chronic pain (finding),2.13,1063.62
2026-04-01,Chronic pain (finding),2.09,1046.94
2026-05-01,Chronic pain (finding),2.06,1030.26
2026-02-01,Essential hypertension (disorder),1.81,905.68
2026-03-01,Essential hypertension (disorder),1.81,906.69
2026-04-01,Essential hypertension (disorder),1.82,907.7
2026-05-01,Essential hypertension (disorder),1.82,908.71
2026-06-01,Essential hypertension (disorder),1.82,909.72
2026-07-01,Essential hypertension (disorder),1.82,910.73
2025-12-01,Educated to high school level (finding),1.28,638.41
2026-01-01,Educated to high school level (finding),1.28,637.92
2026-02-01,Educated to high school level (finding),1.27,637.43
2026-03-01,Educated to high school level (finding),1.27,636.95
2026-04-01,Educated to high school level (finding),1.27,636.46
2026-05-01,Educated to high school level (finding),1.27,635.97
2026-02-01,Past pregnancy history of miscarriage (situation),1.37,687.33
2026-03-01,Past pregnancy history of miscarriage (situation),1.38,687.69
2026-04-01,Past pregnancy history of miscarriage (situation),1.38,688.05
2026-05-01,Past pregnancy history of miscarriage (situation),1.38,688.41
2026-06-01,Past pregnancy history of miscarriage (situation),1.38,688.77
2026-07-01,Past pregnancy history of miscarriage (situation),1.38,689.13
2026-02-01,Normal pregnancy (finding),9.86,4930.49
2026-03-01,Normal pregnancy (finding),9.91,4955.01
2026-04-01,Normal pregnancy (finding),9.96,4979.52
2026-05-01,Normal pregnancy (finding),10.01,5004.03
2026-06-01,Normal pregnancy (finding),10.06,5028.55
2026-07-01,Normal pregnancy (finding),10.11,5053.06
2026-02-01,Chronic sinusitis (disorder),1.6,797.59
2026-03-01,Chronic sinusitis (disorder),1.6,798.45
2026-04-01,Chronic sinusitis (disorder),1.6,799.32
2026-05-01,Chronic sinusitis (disorder),1.6,800.18
2026-06-01,Chronic sinusitis (disorder),1.6,801.05
2026-07-01,Chronic sinusitis (disorder),1.6,801.92
2026-01-01,Has a criminal record (finding),1.71,854.45
2026-02-01,Has a criminal record (finding),1.71,855.6
2026-03-01,Has a criminal record (finding),1.71,856.75
2026-04-01,Has a criminal record (finding),1.72,857.9
2026-05-01,Has a criminal record (finding),1.72,859.06
2026-06-01,Has a criminal record (finding),1.72,860.21
2025-11-01,Chronic low back pain (finding),0.0,0.0
2025-12-01,Chronic low back pain (finding),0.0,0.0
2026-01-01,Chronic low back pain (finding),0.0,0.0
2026-02-01,Chronic low back pain (finding),0.0,0.0
2026-03-01,Chronic low back pain (finding),0.0,0.0
2026-04-01,Chronic low back pain (finding),0.0,0.0
2026-01-01,Housing unsatisfactory (finding),1.13,563.0
2026-02-01,Housing unsatisfactory (finding),1.12,562.46
2026-03-01,Housing unsatisfactory (finding),1.12,561.93
2026-04-01,Housing unsatisfactory (finding),1.12,561.39
2026-05-01,Housing unsatisfactory (finding),1.12,560.85
2026-06-01,Housing unsatisfactory (finding),1.12,560.32
